episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
184,88320,-20155.1724,0.7175,-0.8217,0.6779,0.0,381.4
185,88800,-2336.2077,0.4192,0.3517,0.3633,0.0,381.6
186,89280,-9709.059,0.5042,-0.44,0.4867,0.0,381.7
187,89760,-12857.4961,0.6792,-0.6442,0.6408,0.0,381.8
188,90240,-6343.9447,0.4258,-0.0475,0.4138,0.0,399.9
189,90720,-11040.66,0.4442,-0.175,0.3892,0.0,400.0
190,91200,-12935.6113,0.2317,0.245,0.3125,0.0,400.2
191,91680,-8453.3705,0.3158,0.2842,0.2471,0.0,400.3
192,92160,-21322.964,0.7517,-0.9092,0.7388,0.0,400.5
193,92640,-12517.3575,0.7658,-0.93,0.675,0.0,400.6
194,93120,-14889.4989,0.7125,-0.6683,0.6192,0.0,400.7
195,93600,-11635.1458,0.7458,-0.4275,0.5567,0.0,400.9
196,94080,-11944.0324,0.4042,0.1008,0.3475,0.0,401.0
197,94560,-6715.1755,0.2192,0.2875,0.2858,0.0,419.0
198,95040,-9812.6891,0.435,-0.1708,0.4117,0.0,419.1
199,95520,-6345.4574,0.4767,0.065,0.3683,0.0,419.3
200,96000,-12107.5075,0.7525,-0.5308,0.5858,0.0,419.4
201,96480,-6323.4617,0.5225,-0.72,0.4483,0.0,419.6
202,96960,-6119.9601,0.3758,0.0167,0.3075,0.0,419.7
203,97440,-12369.7872,0.5283,-0.3542,0.4775,0.0,419.8
204,97920,-7691.1519,0.3775,-0.2075,0.4408,0.0,420.0
205,98400,-16843.8868,0.7142,-0.935,0.7825,0.0,436.2
206,98880,-16068.7497,0.6192,-0.495,0.6108,0.0,436.3
207,99360,-2524.3592,0.3358,0.285,0.2767,0.0,436.5
208,99840,-8177.0715,0.5108,-0.3775,0.47,0.0,436.6
209,100320,-18218.6074,0.7825,-0.5692,0.64,0.0,436.8
210,100800,-1633.6029,0.2025,0.2175,0.2796,0.0,436.9
211,101280,-8102.5133,0.335,0.335,0.3325,0.0,437.1
212,101760,-3557.7681,0.335,-0.0133,0.3346,0.0,437.3
213,102240,-15658.0306,0.7667,-0.93,0.7458,0.0,437.4
214,102720,-7682.985,0.2317,0.2,0.295,0.0,455.5
215,103200,-18810.2838,0.7367,-0.905,0.7025,0.0,455.7
216,103680,-22324.8966,0.52,-0.7117,0.5225,0.0,455.8
217,104160,-8107.2717,0.3808,0.265,0.2371,0.0,456.0
218,104640,-7256.0667,0.4558,0.0775,0.3517,0.0,456.1
