episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
201,96480,-6054.2351,0.2029,-0.062,0.1532,0.0,280.6
202,96960,-7521.3369,0.0986,-0.1962,0.1043,0.0,280.6
203,97440,-13282.2376,0.2029,-0.0749,0.1489,0.0,280.7
204,97920,-7552.2555,0.1811,-0.0969,0.1299,0.0,280.8
205,98400,-17195.0182,0.1051,-0.2034,0.0999,0.0,291.8
206,98880,-17879.7871,0.099,-0.1961,0.0998,0.0,291.9
207,99360,-3070.0041,0.2194,-0.0561,0.1615,0.0,292.0
208,99840,-10157.5541,0.264,0.0228,0.1719,0.0,292.1
209,100320,-17814.9375,0.1666,-0.1164,0.1309,0.0,292.2
210,100800,-1601.0324,0.1709,-0.1128,0.1307,0.0,292.2
211,101280,-6521.823,0.2016,-0.0604,0.1431,0.0,292.3
212,101760,-3218.2162,0.2171,-0.0546,0.1501,0.0,292.4
213,102240,-11802.4422,0.2058,-0.0707,0.1535,0.0,292.5
214,102720,-8826.0104,0.2466,-0.01,0.1606,0.0,304.5
215,103200,-10302.5282,0.1954,-0.0636,0.139,0.0,304.6
216,103680,-21176.6847,0.1758,-0.1232,0.1298,0.0,304.6
217,104160,-5408.0448,0.0958,-0.1963,0.0956,0.0,304.7
218,104640,-7791.4715,0.1002,-0.2054,0.0977,0.0,304.8
219,105120,-11998.0029,0.1806,-0.1069,0.13,0.0,304.9
220,105600,-12239.8503,0.2256,-0.0269,0.1472,0.0,305.0
221,106080,-3375.7206,0.097,-0.1939,0.1017,0.0,305.1
222,106560,-7171.5874,0.0957,-0.1928,0.0949,0.0,317.5
223,107040,-18773.0938,0.188,-0.0833,0.1439,0.0,317.5
224,107520,-13974.7317,0.0984,-0.2005,0.0931,0.0,317.6
225,108000,-10138.1084,0.1717,-0.1055,0.1225,0.0,317.7
226,108480,-10551.2081,0.1966,-0.0943,0.1458,0.0,317.8
227,108960,-11468.1208,0.1971,-0.0828,0.1504,0.0,317.9
228,109440,-11643.7534,0.2543,0.0126,0.1659,0.0,318.0
229,109920,-4310.6692,0.0977,-0.2092,0.1002,0.0,318.1
230,110400,-8878.5744,0.2156,-0.0548,0.1513,0.0,318.2
231,110880,-14810.71,0.19,-0.092,0.128,0.0,330.0
232,111360,-7537.5137,0.2232,-0.0415,0.1498,0.0,330.1
233,111840,-14376.8706,0.1654,-0.1108,0.1404,0.0,330.2
234,112320,-3524.751,0.1628,-0.1143,0.1361,0.0,330.3
235,112800,-14067.3305,0.0886,-0.2061,0.1052,0.0,330.4
236,113280,-10393.9157,0.2472,-0.0131,0.1592,0.0,330.5
