episode,total_steps,ep_reward,avg_P_supply,avg_hawkishness,avg_uncertainty,ent_coef,elapsed_s
304,145920,-13902.2054,0.0,0.0,0.0,0.0,622.8
305,146400,-5887.856,0.0,0.0,0.0,0.0,622.9
306,146880,-6526.8018,0.0,0.0,0.0,0.0,623.0
307,147360,-9840.0032,0.0,0.0,0.0,0.0,623.1
308,147840,-12326.4126,0.0,0.0,0.0,0.0,639.3
309,148320,-15630.5526,0.0,0.0,0.0,0.0,639.4
310,148800,-9323.6798,0.0,0.0,0.0,0.0,639.5
311,149280,-8367.7359,0.0,0.0,0.0,0.0,639.6
312,149760,-6765.2001,0.0,0.0,0.0,0.0,639.7
313,150240,-1484.9832,0.0,0.0,0.0,0.0,639.8
314,150720,-8945.5847,0.0,0.0,0.0,0.0,639.9
315,151200,-10664.2146,0.0,0.0,0.0,0.0,640.0
316,151680,-12850.6632,0.0,0.0,0.0,0.0,654.8
317,152160,-11271.7041,0.0,0.0,0.0,0.0,654.9
318,152640,-7562.0085,0.0,0.0,0.0,0.0,655.0
319,153120,-15671.0873,0.0,0.0,0.0,0.0,655.1
320,153600,-14364.1572,0.0,0.0,0.0,0.0,655.2
321,154080,-7506.675,0.0,0.0,0.0,0.0,655.3
322,154560,-4346.7258,0.0,0.0,0.0,0.0,655.4
323,155040,-14535.0917,0.0,0.0,0.0,0.0,655.5
324,155520,-7717.7979,0.0,0.0,0.0,0.0,655.6
325,156000,-11881.4488,0.0,0.0,0.0,0.0,671.9
326,156480,-4154.806,0.0,0.0,0.0,0.0,672.0
327,156960,-9136.938,0.0,0.0,0.0,0.0,672.1
328,157440,-8231.4125,0.0,0.0,0.0,0.0,672.2
329,157920,-5085.1376,0.0,0.0,0.0,0.0,672.4
330,158400,-10637.2994,0.0,0.0,0.0,0.0,672.5
331,158880,-9578.9581,0.0,0.0,0.0,0.0,672.6
332,159360,-9238.779,0.0,0.0,0.0,0.0,672.7
333,159840,-3410.6719,0.0,0.0,0.0,0.0,687.4
334,160320,-7100.977,0.0,0.0,0.0,0.0,687.5
335,160800,-16681.9752,0.0,0.0,0.0,0.0,687.7
336,161280,-5670.23,0.0,0.0,0.0,0.0,687.8
337,161760,-17134.7178,0.0,0.0,0.0,0.0,687.9
338,162240,-21354.1678,0.0,0.0,0.0,0.0,688.0
339,162720,-8272.8335,0.0,0.0,0.0,0.0,688.1
340,163200,-14241.3376,0.0,0.0,0.0,0.0,688.3
341,163680,-13707.8696,0.0,0.0,0.0,0.0,688.4
342,164160,-12641.5596,0.0,0.0,0.0,0.0,704.6
343,164640,-6315.6374,0.0,0.0,0.0,0.0,704.7
344,165120,-12494.4102,0.0,0.0,0.0,0.0,704.8
345,165600,-11013.606,0.0,0.0,0.0,0.0,705.0
346,166080,-22105.3362,0.0,0.0,0.0,0.0,705.1
